2014-10-14 13:47:09 status half-configured base-passwd:i386 3.5.26
2014-10-14 13:47:09 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:09 status half-installed base-passwd:i386 3.5.26
2014-10-14 13:47:09 status half-installed base-passwd:i386 3.5.26
2014-10-14 13:47:09 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:09 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:09 install bash:i386 <none> 4.2+dfsg-0.1
2014-10-14 13:47:09 status half-installed bash:i386 4.2+dfsg-0.1
2014-10-14 13:47:09 status unpacked bash:i386 4.2+dfsg-0.1
2014-10-14 13:47:09 status unpacked bash:i386 4.2+dfsg-0.1
2014-10-14 13:47:10 install libbz2-1.0:i386 <none> 1.0.6-4
2014-10-14 13:47:10 status half-installed libbz2-1.0:i386 1.0.6-4
2014-10-14 13:47:10 status unpacked libbz2-1.0:i386 1.0.6-4
2014-10-14 13:47:10 status unpacked libbz2-1.0:i386 1.0.6-4
2014-10-14 13:47:10 install coreutils:i386 <none> 8.13-3.5
2014-10-14 13:47:10 status half-installed coreutils:i386 8.13-3.5
2014-10-14 13:47:10 status unpacked coreutils:i386 8.13-3.5
2014-10-14 13:47:10 status unpacked coreutils:i386 8.13-3.5
2014-10-14 13:47:10 install dash:i386 <none> 0.5.7-3
2014-10-14 13:47:10 status half-installed dash:i386 0.5.7-3
2014-10-14 13:47:10 status unpacked dash:i386 0.5.7-3
2014-10-14 13:47:10 status unpacked dash:i386 0.5.7-3
2014-10-14 13:47:10 install libdb5.1:i386 <none> 5.1.29-5
2014-10-14 13:47:10 status half-installed libdb5.1:i386 5.1.29-5
2014-10-14 13:47:10 status unpacked libdb5.1:i386 5.1.29-5
2014-10-14 13:47:10 status unpacked libdb5.1:i386 5.1.29-5
2014-10-14 13:47:10 upgrade debconf:all 1.5.49 1.5.49
2014-10-14 13:47:10 status half-configured debconf:all 1.5.49
2014-10-14 13:47:10 status unpacked debconf:all 1.5.49
2014-10-14 13:47:10 status half-installed debconf:all 1.5.49
2014-10-14 13:47:10 status half-installed debconf:all 1.5.49
2014-10-14 13:47:10 status unpacked debconf:all 1.5.49
2014-10-14 13:47:10 status unpacked debconf:all 1.5.49
2014-10-14 13:47:10 install debconf-i18n:all <none> 1.5.49
2014-10-14 13:47:10 status half-installed debconf-i18n:all 1.5.49
2014-10-14 13:47:10 status unpacked debconf-i18n:all 1.5.49
2014-10-14 13:47:10 status unpacked debconf-i18n:all 1.5.49
2014-10-14 13:47:10 install debianutils:i386 <none> 4.3.2
2014-10-14 13:47:10 status half-installed debianutils:i386 4.3.2
2014-10-14 13:47:10 status unpacked debianutils:i386 4.3.2
2014-10-14 13:47:11 status unpacked debianutils:i386 4.3.2
2014-10-14 13:47:11 install diffutils:i386 <none> 1:3.2-6
2014-10-14 13:47:11 status half-installed diffutils:i386 1:3.2-6
2014-10-14 13:47:11 status unpacked diffutils:i386 1:3.2-6
2014-10-14 13:47:11 status unpacked diffutils:i386 1:3.2-6
2014-10-14 13:47:11 upgrade dpkg:i386 1.16.15 1.16.15
2014-10-14 13:47:11 status half-configured dpkg:i386 1.16.15
2014-10-14 13:47:11 status unpacked dpkg:i386 1.16.15
2014-10-14 13:47:11 status half-installed dpkg:i386 1.16.15
2014-10-14 13:47:11 status half-installed dpkg:i386 1.16.15
2014-10-14 13:47:11 status unpacked dpkg:i386 1.16.15
2014-10-14 13:47:11 status unpacked dpkg:i386 1.16.15
2014-10-14 13:47:11 install e2fslibs:i386 <none> 1.42.5-1.1
2014-10-14 13:47:11 status half-installed e2fslibs:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked e2fslibs:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked e2fslibs:i386 1.42.5-1.1
2014-10-14 13:47:11 install e2fsprogs:i386 <none> 1.42.5-1.1
2014-10-14 13:47:11 status half-installed e2fsprogs:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked e2fsprogs:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked e2fsprogs:i386 1.42.5-1.1
2014-10-14 13:47:11 install libcomerr2:i386 <none> 1.42.5-1.1
2014-10-14 13:47:11 status half-installed libcomerr2:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked libcomerr2:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked libcomerr2:i386 1.42.5-1.1
2014-10-14 13:47:11 install libss2:i386 <none> 1.42.5-1.1
2014-10-14 13:47:11 status half-installed libss2:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked libss2:i386 1.42.5-1.1
2014-10-14 13:47:11 status unpacked libss2:i386 1.42.5-1.1
2014-10-14 13:47:11 install libc-bin:i386 <none> 2.13-38+deb7u2
2014-10-14 13:47:11 status half-installed libc-bin:i386 2.13-38+deb7u2
2014-10-14 13:47:11 status unpacked libc-bin:i386 2.13-38+deb7u2
2014-10-14 13:47:11 status unpacked libc-bin:i386 2.13-38+deb7u2
2014-10-14 13:47:11 upgrade libc6:i386 2.13-38+deb7u2 2.13-38+deb7u2
2014-10-14 13:47:11 status half-configured libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:11 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:11 status half-installed libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:12 status half-installed libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:12 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:12 status unpacked libc6:i386 2.13-38+deb7u2
